condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,tldr17,3.9179821014404297,50.29884719848633,5080
network0,knockout,tldr17,8.419108390808105,4532.85888671875,5080
network0_baseline0,baseline,tldr17,7.555473327636719,1911.17431640625,5080
network1,knockout,tldr17,3.7239491939544678,41.42768096923828,5080
network1_baseline0,baseline,tldr17,4.087179183959961,59.57161331176758,5080
union,knockout,tldr17,7.791225910186768,2419.28125,5080
healthy,healthy,wikitext,4.331834316253662,76.08373260498047,5080
network0,knockout,wikitext,9.662964820861816,15724.341796875,5080
network0_baseline0,baseline,wikitext,8.344391822814941,4206.52392578125,5080
network1,knockout,wikitext,4.29280948638916,73.17176055908203,5080
network1_baseline0,baseline,wikitext,4.324556350708008,75.53199005126953,5080
union,knockout,wikitext,9.296761512756348,10902.654296875,5080
