condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,tldr17,3.8962578773498535,49.21792984008789,5080
network0,knockout,tldr17,3.8658745288848877,47.7450065612793,5080
network0_baseline0,baseline,tldr17,3.8651199340820312,47.7089958190918,5080
network1,knockout,tldr17,7.803037166595459,2448.026123046875,5080
union,knockout,tldr17,11.407734870910645,90015.2734375,5080
healthy,healthy,wikitext,4.164262294769287,64.34519958496094,5080
network0,knockout,wikitext,4.361269474029541,78.3565444946289,5080
network0_baseline0,baseline,wikitext,4.376123905181885,79.52916717529297,5080
network1,knockout,wikitext,8.652440071105957,5724.095703125,5080
union,knockout,wikitext,12.040635108947754,169504.640625,5080
