condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,2.108208656311035,8.233479499816895,50078
network1,knockout,codeparrot,1.9040950536727905,6.713329792022705,50078
network1_baseline0,baseline,codeparrot,1.9214855432510376,6.831099033355713,50078
network1_baseline1,baseline,codeparrot,2.024129629135132,7.569520473480225,50078
network1_baseline2,baseline,codeparrot,2.2691311836242676,9.670995712280273,50078
union,knockout,codeparrot,1.8600919246673584,6.4243268966674805,50078
union_baseline0,baseline,codeparrot,2.3279106616973877,10.256489753723145,50078
union_baseline1,baseline,codeparrot,1.9245190620422363,6.8518524169921875,50078
union_baseline2,baseline,codeparrot,2.1313059329986572,8.425863265991211,50078
healthy,healthy,random,11.845233917236328,139418.21875,50078
network1,knockout,random,11.827159881591797,136921.125,50078
network1_baseline0,baseline,random,11.8268404006958,136877.34375,50078
network1_baseline1,baseline,random,11.833375930786133,137774.78125,50078
network1_baseline2,baseline,random,11.982226371765137,159887.609375,50078
union,knockout,random,11.840181350708008,138715.65625,50078
union_baseline0,baseline,random,11.842476844787598,139034.46875,50078
union_baseline1,baseline,random,11.836800575256348,138247.4375,50078
union_baseline2,baseline,random,11.954365730285645,155494.515625,50078
healthy,healthy,tldr17,3.688020944595337,39.965675354003906,50078
network1,knockout,tldr17,3.67386794090271,39.40401840209961,50078
network1_baseline0,baseline,tldr17,3.740661859512329,42.125858306884766,50078
network1_baseline1,baseline,tldr17,3.7243759632110596,41.44535827636719,50078
network1_baseline2,baseline,tldr17,3.7370004653930664,41.97190856933594,50078
union,knockout,tldr17,3.692328929901123,40.138214111328125,50078
union_baseline0,baseline,tldr17,3.7052090167999268,40.65854263305664,50078
union_baseline1,baseline,tldr17,3.7121260166168213,40.94075012207031,50078
union_baseline2,baseline,tldr17,3.7407290935516357,42.128692626953125,50078
healthy,healthy,wikitext,3.919872999191284,50.39405059814453,50078
network1,knockout,wikitext,3.870638608932495,47.973018646240234,50078
network1_baseline0,baseline,wikitext,3.916665554046631,50.232669830322266,50078
network1_baseline1,baseline,wikitext,3.8684945106506348,47.87025833129883,50078
network1_baseline2,baseline,wikitext,3.9315855503082275,50.98775100708008,50078
union,knockout,wikitext,3.9203641414642334,50.41879653930664,50078
union_baseline0,baseline,wikitext,3.884782314300537,48.65634536743164,50078
union_baseline1,baseline,wikitext,3.8949081897735596,49.15154266357422,50078
union_baseline2,baseline,wikitext,3.9097259044647217,49.88528060913086,50078
