condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,2.181168556213379,8.856650352478027,50078
network1,knockout,codeparrot,2.264864206314087,9.629817962646484,50078
network1_baseline0,baseline,codeparrot,1.7566825151443481,5.793186664581299,50078
network1_baseline1,baseline,codeparrot,2.059694290161133,7.843571662902832,50078
network1_baseline2,baseline,codeparrot,2.2770748138427734,9.748124122619629,50078
union,knockout,codeparrot,2.1067702770233154,8.22164535522461,50078
union_baseline0,baseline,codeparrot,2.0174782276153564,7.519339084625244,50078
union_baseline1,baseline,codeparrot,1.9874484539031982,7.296891212463379,50078
union_baseline2,baseline,codeparrot,1.7787927389144897,5.922702312469482,50078
healthy,healthy,random,11.840705871582031,138788.40625,50078
network1,knockout,random,11.823256492614746,136387.6875,50078
network1_baseline0,baseline,random,11.842399597167969,139023.671875,50078
network1_baseline1,baseline,random,11.808255195617676,134356.890625,50078
network1_baseline2,baseline,random,11.826173782348633,136786.0625,50078
union,knockout,random,11.839128494262695,138569.703125,50078
union_baseline0,baseline,random,11.821040153503418,136085.703125,50078
union_baseline1,baseline,random,11.809765815734863,134560.015625,50078
union_baseline2,baseline,random,11.804821968078613,133896.484375,50078
healthy,healthy,tldr17,3.7436840534210205,42.25336456298828,50078
network1,knockout,tldr17,3.665327787399292,39.06894302368164,50078
network1_baseline0,baseline,tldr17,3.5702097415924072,35.524044036865234,50078
network1_baseline1,baseline,tldr17,3.7518560886383057,42.60008239746094,50078
network1_baseline2,baseline,tldr17,3.6967220306396484,40.31494140625,50078
union,knockout,tldr17,3.710294485092163,40.86583709716797,50078
union_baseline0,baseline,tldr17,3.7393999099731445,42.072731018066406,50078
union_baseline1,baseline,tldr17,3.73539662361145,41.90464401245117,50078
union_baseline2,baseline,tldr17,3.667936325073242,39.17098617553711,50078
healthy,healthy,wikitext,3.922149896621704,50.50891876220703,50078
network1,knockout,wikitext,3.8951070308685303,49.161319732666016,50078
network1_baseline0,baseline,wikitext,3.8875248432159424,48.789974212646484,50078
network1_baseline1,baseline,wikitext,3.9109206199645996,49.944908142089844,50078
network1_baseline2,baseline,wikitext,3.8478143215179443,46.890464782714844,50078
union,knockout,wikitext,3.8641347885131836,47.66201400756836,50078
union_baseline0,baseline,wikitext,3.896233558654785,49.21672821044922,50078
union_baseline1,baseline,wikitext,3.887799024581909,48.803348541259766,50078
union_baseline2,baseline,wikitext,3.929539203643799,50.88352584838867,50078
