condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,2.164491891860962,8.710174560546875,50078
network1,knockout,codeparrot,2.457441806793213,11.674907684326172,50078
network1_baseline0,baseline,codeparrot,2.661503314971924,14.317797660827637,50078
network1_baseline1,baseline,codeparrot,2.5427064895629883,12.714034080505371,50078
network1_baseline2,baseline,codeparrot,2.0333683490753174,7.639776706695557,50078
network2,knockout,codeparrot,3.7655818462371826,43.1888313293457,50078
network2_baseline0,baseline,codeparrot,2.0651683807373047,7.88662576675415,50078
network2_baseline1,baseline,codeparrot,2.133037805557251,8.440467834472656,50078
network2_baseline2,baseline,codeparrot,2.107250690460205,8.22559642791748,50078
union,knockout,codeparrot,9.271048545837402,10625.8896484375,50078
union_baseline0,baseline,codeparrot,5.262698173522949,193.00152587890625,50078
union_baseline1,baseline,codeparrot,5.620777130126953,276.1039123535156,50078
union_baseline2,baseline,codeparrot,5.8764166831970215,356.5293884277344,50078
healthy,healthy,random,11.82524585723877,136659.3125,50078
network1,knockout,random,13.21792984008789,550141.0,50078
network1_baseline0,baseline,random,11.785354614257812,131315.015625,50078
network1_baseline1,baseline,random,11.805624008178711,134003.8125,50078
network1_baseline2,baseline,random,11.794041633605957,132460.703125,50078
network2,knockout,random,11.916322708129883,149690.15625,50078
network2_baseline0,baseline,random,11.794271469116211,132491.21875,50078
network2_baseline1,baseline,random,11.712626457214355,122103.7890625,50078
network2_baseline2,baseline,random,11.776448249816895,130150.640625,50078
union,knockout,random,15.706512451171875,6626003.5,50078
union_baseline0,baseline,random,12.477215766906738,262292.4375,50078
union_baseline1,baseline,random,11.881558418273926,144575.734375,50078
union_baseline2,baseline,random,12.065635681152344,173795.734375,50078
healthy,healthy,tldr17,3.6808879375457764,39.68161392211914,50078
network1,knockout,tldr17,5.166444301605225,175.2904815673828,50078
network1_baseline0,baseline,tldr17,3.7936863899230957,44.41984558105469,50078
network1_baseline1,baseline,tldr17,3.664519786834717,39.037384033203125,50078
network1_baseline2,baseline,tldr17,3.7301743030548096,41.68637466430664,50078
network2,knockout,tldr17,4.583902359008789,97.89568328857422,50078
network2_baseline0,baseline,tldr17,3.7772998809814453,43.69789123535156,50078
network2_baseline1,baseline,tldr17,3.6546101570129395,38.65244674682617,50078
network2_baseline2,baseline,tldr17,3.767406940460205,43.26771926879883,50078
union,knockout,tldr17,12.655403137207031,313452.5,50078
union_baseline0,baseline,tldr17,7.104599952697754,1217.5546875,50078
union_baseline1,baseline,tldr17,6.871158599853516,964.0650024414062,50078
union_baseline2,baseline,tldr17,7.191467761993408,1328.0509033203125,50078
healthy,healthy,wikitext,3.902155637741089,49.509056091308594,50078
network1,knockout,wikitext,5.601402759552002,270.8059997558594,50078
network1_baseline0,baseline,wikitext,3.868098020553589,47.85129165649414,50078
network1_baseline1,baseline,wikitext,3.910409450531006,49.91938781738281,50078
network1_baseline2,baseline,wikitext,3.907059907913208,49.752464294433594,50078
network2,knockout,wikitext,5.010230541229248,149.93930053710938,50078
network2_baseline0,baseline,wikitext,3.916128158569336,50.205684661865234,50078
network2_baseline1,baseline,wikitext,3.9026520252227783,49.53364562988281,50078
network2_baseline2,baseline,wikitext,3.9826910495758057,53.66124725341797,50078
union,knockout,wikitext,13.1907377243042,535383.1875,50078
union_baseline0,baseline,wikitext,7.805789947509766,2454.773681640625,50078
union_baseline1,baseline,wikitext,7.399635314941406,1635.3878173828125,50078
union_baseline2,baseline,wikitext,7.687227725982666,2180.322021484375,50078
