condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,2.0128278732299805,7.484452247619629,50078
network0,knockout,codeparrot,3.0636634826660156,21.405832290649414,50078
network0_baseline0,baseline,codeparrot,2.10841703414917,8.23519515991211,50078
network0_baseline1,baseline,codeparrot,2.2309868335723877,9.309046745300293,50078
network0_baseline2,baseline,codeparrot,2.7231125831604004,15.227645874023438,50078
network2,knockout,codeparrot,2.751803398132324,15.670867919921875,50078
network2_baseline0,baseline,codeparrot,2.260465383529663,9.587550163269043,50078
network2_baseline1,baseline,codeparrot,2.29532527923584,9.927664756774902,50078
network2_baseline2,baseline,codeparrot,2.266040086746216,9.641146659851074,50078
union,knockout,codeparrot,11.038559913635254,62227.98828125,50078
union_baseline0,baseline,codeparrot,9.98032283782959,21597.29296875,50078
union_baseline1,baseline,codeparrot,7.721155166625977,2255.563232421875,50078
union_baseline2,baseline,codeparrot,5.195433139801025,180.44630432128906,50078
healthy,healthy,random,11.833678245544434,137816.453125,50078
network0,knockout,random,12.027844429016113,167350.34375,50078
network0_baseline0,baseline,random,11.82206916809082,136225.859375,50078
network0_baseline1,baseline,random,11.820052146911621,135951.28125,50078
network0_baseline2,baseline,random,11.843276023864746,139145.609375,50078
network2,knockout,random,13.32992172241211,615334.6875,50078
network2_baseline0,baseline,random,11.939994812011719,153275.84375,50078
network2_baseline1,baseline,random,11.878016471862793,144064.53125,50078
network2_baseline2,baseline,random,12.189656257629395,196743.546875,50078
union,knockout,random,19.221975326538086,222842336.0,50078
union_baseline0,baseline,random,19.97296905517578,472226368.0,50078
union_baseline1,baseline,random,13.816520690917969,1001010.8125,50078
union_baseline2,baseline,random,12.92793083190918,411651.03125,50078
healthy,healthy,tldr17,3.708203077316284,40.780460357666016,50078
network0,knockout,tldr17,4.825357913970947,124.63104248046875,50078
network0_baseline0,baseline,tldr17,3.693303108215332,40.177337646484375,50078
network0_baseline1,baseline,tldr17,3.7397522926330566,42.08756637573242,50078
network0_baseline2,baseline,tldr17,3.695927858352661,40.28293228149414,50078
network2,knockout,tldr17,5.703683376312256,299.9702453613281,50078
network2_baseline0,baseline,tldr17,3.734224319458008,41.85554122924805,50078
network2_baseline1,baseline,tldr17,3.7906413078308105,44.284793853759766,50078
network2_baseline2,baseline,tldr17,3.7417969703674316,42.1737060546875,50078
union,knockout,tldr17,13.54912281036377,766142.0,50078
union_baseline0,baseline,tldr17,11.752601623535156,127083.796875,50078
union_baseline1,baseline,tldr17,8.407038688659668,4478.47705078125,50078
union_baseline2,baseline,tldr17,5.997480869293213,402.4137268066406,50078
healthy,healthy,wikitext,3.8953983783721924,49.175636291503906,50078
network0,knockout,wikitext,5.333250999450684,207.11016845703125,50078
network0_baseline0,baseline,wikitext,3.9507627487182617,51.974998474121094,50078
network0_baseline1,baseline,wikitext,3.9146270751953125,50.13037109375,50078
network0_baseline2,baseline,wikitext,3.889359712600708,48.879581451416016,50078
network2,knockout,wikitext,6.149128437042236,468.3089904785156,50078
network2_baseline0,baseline,wikitext,3.931185245513916,50.96735763549805,50078
network2_baseline1,baseline,wikitext,3.924751043319702,50.64047622680664,50078
network2_baseline2,baseline,wikitext,3.983642816543579,53.712345123291016,50078
union,knockout,wikitext,15.589438438415527,5893960.5,50078
union_baseline0,baseline,wikitext,12.453608512878418,256173.09375,50078
union_baseline1,baseline,wikitext,8.961433410644531,7796.52197265625,50078
union_baseline2,baseline,wikitext,6.715097427368164,824.7639770507812,50078
