condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,2.140115976333618,8.500422477722168,50078
network0,knockout,codeparrot,4.005146026611328,54.87982940673828,50078
network0_baseline0,baseline,codeparrot,3.6229536533355713,37.4480094909668,50078
network0_baseline1,baseline,codeparrot,3.802212715148926,44.800201416015625,50078
network0_baseline2,baseline,codeparrot,6.959569454193115,1053.1798095703125,50078
network1,knockout,codeparrot,2.540663480758667,12.688087463378906,50078
network1_baseline0,baseline,codeparrot,2.315979480743408,10.134844779968262,50078
network1_baseline1,baseline,codeparrot,2.132871150970459,8.439061164855957,50078
network1_baseline2,baseline,codeparrot,2.1302173137664795,8.416694641113281,50078
network4,knockout,codeparrot,4.191314697265625,66.10964965820312,50078
network4_baseline0,baseline,codeparrot,2.259770393371582,9.580888748168945,50078
network4_baseline1,baseline,codeparrot,2.137190103530884,8.47558879852295,50078
network4_baseline2,baseline,codeparrot,2.1432838439941406,8.527395248413086,50078
union,knockout,codeparrot,7.0015459060668945,1098.3294677734375,50078
union_baseline0,baseline,codeparrot,3.677096128463745,39.531436920166016,50078
union_baseline1,baseline,codeparrot,4.152991771697998,63.62406539916992,50078
union_baseline2,baseline,codeparrot,4.046154499053955,57.177154541015625,50078
healthy,healthy,random,11.828782081604004,137143.40625,50078
network0,knockout,random,13.450359344482422,694091.375,50078
network0_baseline0,baseline,random,11.864764213562012,142167.890625,50078
network0_baseline1,baseline,random,11.900558471679688,147348.859375,50078
network0_baseline2,baseline,random,13.781288146972656,966356.75,50078
network1,knockout,random,11.868133544921875,142647.78125,50078
network1_baseline0,baseline,random,11.819497108459473,135875.921875,50078
network1_baseline1,baseline,random,11.794306755065918,132495.8125,50078
network1_baseline2,baseline,random,11.723344802856445,123419.5078125,50078
network4,knockout,random,12.0432710647583,169951.890625,50078
network4_baseline0,baseline,random,11.79743766784668,132911.375,50078
network4_baseline1,baseline,random,11.752360343933105,127053.046875,50078
network4_baseline2,baseline,random,11.734357833862305,124786.296875,50078
union,knockout,random,12.59179401397705,294134.96875,50078
union_baseline0,baseline,random,11.742724418640137,125834.6875,50078
union_baseline1,baseline,random,11.904084205627441,147869.296875,50078
union_baseline2,baseline,random,11.72108268737793,123140.7265625,50078
healthy,healthy,tldr17,3.722019910812378,41.34783172607422,50078
network0,knockout,tldr17,7.801898956298828,2445.2412109375,50078
network0_baseline0,baseline,tldr17,5.677375316619873,292.18157958984375,50078
network0_baseline1,baseline,tldr17,5.572971343994141,263.2150573730469,50078
network0_baseline2,baseline,tldr17,7.186126232147217,1320.97607421875,50078
network1,knockout,tldr17,3.9479856491088867,51.83085250854492,50078
network1_baseline0,baseline,tldr17,3.714545726776123,41.03994369506836,50078
network1_baseline1,baseline,tldr17,3.799283981323242,44.669185638427734,50078
network1_baseline2,baseline,tldr17,3.7430386543273926,42.22610092163086,50078
network4,knockout,tldr17,5.383285999298096,217.73654174804688,50078
network4_baseline0,baseline,tldr17,3.770887613296509,43.41858673095703,50078
network4_baseline1,baseline,tldr17,3.7317113876342773,41.7504997253418,50078
network4_baseline2,baseline,tldr17,3.8136093616485596,45.313697814941406,50078
union,knockout,tldr17,8.340192794799805,4188.896484375,50078
union_baseline0,baseline,tldr17,5.677151203155518,292.1160583496094,50078
union_baseline1,baseline,tldr17,6.024820327758789,413.5672302246094,50078
union_baseline2,baseline,tldr17,5.695086479187012,297.4025573730469,50078
healthy,healthy,wikitext,3.91089129447937,49.943450927734375,50078
network0,knockout,wikitext,8.277741432189941,3935.29638671875,50078
network0_baseline0,baseline,wikitext,6.395698547363281,599.2617797851562,50078
network0_baseline1,baseline,wikitext,6.214825630187988,500.1088562011719,50078
network0_baseline2,baseline,wikitext,8.159235000610352,3495.51220703125,50078
network1,knockout,wikitext,4.2641282081604,71.10291290283203,50078
network1_baseline0,baseline,wikitext,3.939680814743042,51.402191162109375,50078
network1_baseline1,baseline,wikitext,3.886178970336914,48.72434997558594,50078
network1_baseline2,baseline,wikitext,3.8839163780212402,48.61423873901367,50078
network4,knockout,wikitext,5.990535259246826,399.6283874511719,50078
network4_baseline0,baseline,wikitext,3.9576289653778076,52.333091735839844,50078
network4_baseline1,baseline,wikitext,3.9341208934783936,51.11719512939453,50078
network4_baseline2,baseline,wikitext,4.0499491691589355,57.39455032348633,50078
union,knockout,wikitext,9.36652660369873,11690.443359375,50078
union_baseline0,baseline,wikitext,6.36776876449585,582.7560424804688,50078
union_baseline1,baseline,wikitext,6.5002241134643555,665.290771484375,50078
union_baseline2,baseline,wikitext,6.307194709777832,548.5039672851562,50078
