condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,1.8129538297653198,6.128523349761963,50078
network1,knockout,codeparrot,2.9950056076049805,19.985471725463867,50078
network1_baseline0,baseline,codeparrot,2.1264069080352783,8.384686470031738,50078
network1_baseline1,baseline,codeparrot,1.926985502243042,6.868773460388184,50078
network1_baseline2,baseline,codeparrot,2.2380530834198,9.375060081481934,50078
network2,knockout,codeparrot,3.0935003757476807,22.05413818359375,50078
network2_baseline0,baseline,codeparrot,3.579336166381836,35.8497314453125,50078
network2_baseline1,baseline,codeparrot,4.69886589050293,109.82255554199219,50078
network2_baseline2,baseline,codeparrot,6.193495273590088,489.5542907714844,50078
network3,knockout,codeparrot,3.483614921569824,32.577274322509766,50078
network3_baseline0,baseline,codeparrot,2.316413402557373,10.139244079589844,50078
network3_baseline1,baseline,codeparrot,2.33640718460083,10.34400463104248,50078
network3_baseline2,baseline,codeparrot,2.0665626525878906,7.897629737854004,50078
union,knockout,codeparrot,9.081182479858398,8788.349609375,50078
union_baseline0,baseline,codeparrot,5.766711235046387,319.4853515625,50078
union_baseline1,baseline,codeparrot,4.066167831420898,58.332984924316406,50078
union_baseline2,baseline,codeparrot,6.709439277648926,820.110595703125,50078
healthy,healthy,random,11.80797290802002,134318.96875,50078
network1,knockout,random,13.561419486999512,775621.375,50078
network1_baseline0,baseline,random,11.870685577392578,143012.21875,50078
network1_baseline1,baseline,random,11.778642654418945,130436.609375,50078
network1_baseline2,baseline,random,12.228974342346191,204633.140625,50078
network2,knockout,random,12.721626281738281,334913.125,50078
network2_baseline0,baseline,random,12.930001258850098,412504.1875,50078
network2_baseline1,baseline,random,15.784122467041016,7160726.5,50078
network2_baseline2,baseline,random,15.4338960647583,5044940.5,50078
network3,knockout,random,12.002721786499023,163198.328125,50078
network3_baseline0,baseline,random,11.768336296081543,129099.1640625,50078
network3_baseline1,baseline,random,11.790888786315918,132043.78125,50078
network3_baseline2,baseline,random,11.840721130371094,138790.578125,50078
union,knockout,random,16.917774200439453,22248256.0,50078
union_baseline0,baseline,random,15.504535675048828,5414200.5,50078
union_baseline1,baseline,random,14.219507217407227,1497799.125,50078
union_baseline2,baseline,random,13.787398338317871,972279.375,50078
healthy,healthy,tldr17,3.6759679317474365,39.48685836791992,50078
network1,knockout,tldr17,5.834836959838867,342.009033203125,50078
network1_baseline0,baseline,tldr17,3.702700138092041,40.556671142578125,50078
network1_baseline1,baseline,tldr17,3.7748641967773438,43.591590881347656,50078
network1_baseline2,baseline,tldr17,3.751572370529175,42.58799362182617,50078
network2,knockout,tldr17,5.730030059814453,307.97857666015625,50078
network2_baseline0,baseline,tldr17,5.3567214012146,212.0286407470703,50078
network2_baseline1,baseline,tldr17,6.261631965637207,524.0734252929688,50078
network2_baseline2,baseline,tldr17,7.936654567718506,2797.984375,50078
network3,knockout,tldr17,4.888645172119141,132.77357482910156,50078
network3_baseline0,baseline,tldr17,3.6268131732940674,37.59281921386719,50078
network3_baseline1,baseline,tldr17,3.669309377670288,39.22480392456055,50078
network3_baseline2,baseline,tldr17,3.7292227745056152,41.646728515625,50078
union,knockout,tldr17,9.288544654846191,10813.4384765625,50078
union_baseline0,baseline,tldr17,6.255555629730225,520.898681640625,50078
union_baseline1,baseline,tldr17,4.9045515060424805,134.90237426757812,50078
union_baseline2,baseline,tldr17,6.803183078765869,900.7095947265625,50078
healthy,healthy,wikitext,3.9032883644104004,49.565162658691406,50078
network1,knockout,wikitext,6.420953273773193,614.588623046875,50078
network1_baseline0,baseline,wikitext,3.9125900268554688,50.028358459472656,50078
network1_baseline1,baseline,wikitext,3.9180150032043457,50.300506591796875,50078
network1_baseline2,baseline,wikitext,3.954143524169922,52.151004791259766,50078
network2,knockout,wikitext,6.193294525146484,489.4559020996094,50078
network2_baseline0,baseline,wikitext,6.08499002456665,439.21533203125,50078
network2_baseline1,baseline,wikitext,7.542248725891113,1886.066162109375,50078
network2_baseline2,baseline,wikitext,8.232844352722168,3762.519775390625,50078
network3,knockout,wikitext,5.34990930557251,210.5891876220703,50078
network3_baseline0,baseline,wikitext,3.920055389404297,50.403236389160156,50078
network3_baseline1,baseline,wikitext,3.903550624847412,49.57817459106445,50078
network3_baseline2,baseline,wikitext,3.9137024879455566,50.084049224853516,50078
union,knockout,wikitext,10.892277717590332,53759.62890625,50078
union_baseline0,baseline,wikitext,7.159650802612305,1286.4617919921875,50078
union_baseline1,baseline,wikitext,5.598666667938232,270.06610107421875,50078
union_baseline2,baseline,wikitext,7.486212253570557,1783.284423828125,50078
