condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,1.6771249771118164,5.350152015686035,50078
network0,knockout,codeparrot,2.285447359085083,9.830082893371582,50078
network0_baseline0,baseline,codeparrot,5.238806247711182,188.4450225830078,50078
network0_baseline1,baseline,codeparrot,4.985836505889893,146.32594299316406,50078
network0_baseline2,baseline,codeparrot,5.224513053894043,185.77064514160156,50078
network1,knockout,codeparrot,4.053018569946289,57.57097625732422,50078
network1_baseline0,baseline,codeparrot,1.8419193029403687,6.308635234832764,50078
network1_baseline1,baseline,codeparrot,1.7027716636657715,5.489140510559082,50078
network1_baseline2,baseline,codeparrot,1.532297134399414,4.62879753112793,50078
union,knockout,codeparrot,5.867522716522217,353.37249755859375,50078
union_baseline0,baseline,codeparrot,5.18450927734375,178.4857940673828,50078
union_baseline1,baseline,codeparrot,5.380263328552246,217.07945251464844,50078
union_baseline2,baseline,codeparrot,4.819131374359131,123.85746002197266,50078
healthy,healthy,random,11.75073528289795,126846.8125,50078
network0,knockout,random,11.971463203430176,158175.890625,50078
network0_baseline0,baseline,random,11.934300422668457,152405.515625,50078
network0_baseline1,baseline,random,11.748801231384277,126601.75,50078
network0_baseline2,baseline,random,12.417354583740234,247052.15625,50078
network1,knockout,random,11.807307243347168,134229.671875,50078
network1_baseline0,baseline,random,11.688135147094727,119149.578125,50078
network1_baseline1,baseline,random,11.735846519470215,124972.1328125,50078
network1_baseline2,baseline,random,11.733882904052734,124727.0078125,50078
union,knockout,random,12.673063278198242,319037.1875,50078
union_baseline0,baseline,random,11.886008262634277,145220.453125,50078
union_baseline1,baseline,random,12.111958503723145,182035.703125,50078
union_baseline2,baseline,random,12.357617378234863,232726.09375,50078
healthy,healthy,tldr17,3.44632887840271,31.384960174560547,50078
network0,knockout,tldr17,4.705658912658691,110.57112121582031,50078
network0_baseline0,baseline,tldr17,6.693345069885254,807.0172119140625,50078
network0_baseline1,baseline,tldr17,6.513713836669922,674.3261108398438,50078
network0_baseline2,baseline,tldr17,6.856285095214844,949.8321533203125,50078
network1,knockout,tldr17,5.408086776733398,223.20413208007812,50078
network1_baseline0,baseline,tldr17,3.516951560974121,33.68159484863281,50078
network1_baseline1,baseline,tldr17,3.455120325088501,31.66210174560547,50078
network1_baseline2,baseline,tldr17,3.463674783706665,31.934110641479492,50078
union,knockout,tldr17,6.7849955558776855,884.4759521484375,50078
union_baseline0,baseline,tldr17,6.624307632446289,753.1826782226562,50078
union_baseline1,baseline,tldr17,6.701934814453125,813.9793701171875,50078
union_baseline2,baseline,tldr17,6.3795366287231445,589.6544189453125,50078
healthy,healthy,wikitext,3.5550549030303955,34.98973846435547,50078
network0,knockout,wikitext,4.9946980476379395,147.62832641601562,50078
network0_baseline0,baseline,wikitext,7.343748092651367,1546.4979248046875,50078
network0_baseline1,baseline,wikitext,7.025647163391113,1125.122314453125,50078
network0_baseline2,baseline,wikitext,7.331521987915039,1527.7054443359375,50078
network1,knockout,wikitext,5.934350967407227,377.7947082519531,50078
network1_baseline0,baseline,wikitext,3.621978998184204,37.411529541015625,50078
network1_baseline1,baseline,wikitext,3.6030564308166504,36.710262298583984,50078
network1_baseline2,baseline,wikitext,3.5948598384857178,36.41059875488281,50078
union,knockout,wikitext,7.596463203430176,1991.1412353515625,50078
union_baseline0,baseline,wikitext,6.9538140296936035,1047.1358642578125,50078
union_baseline1,baseline,wikitext,7.14241886138916,1264.4830322265625,50078
union_baseline2,baseline,wikitext,6.919357776641846,1011.6702880859375,50078
